model_id,embedding_family,embedding,model,beta,accuracy,precision,recall,f_1.0,f_0.7,f_0.5,f_0.3,TN,TP,FP,FN,confusion_matrix,score_type,model_path
CM001,clinical-modernbert,clinical-modernbert_cls,LogisticRegression,1.0,0.7324561403508771,0.5697674418604651,0.6712328767123288,0.6163522012578616,,,,118,49,37,24,"[[118, 37], [24, 49]]",,
CM002,clinical-modernbert,clinical-modernbert_cls,RidgeClassifier,1.0,0.7807017543859649,0.6619718309859155,0.6438356164383562,0.6527777777777778,,,,131,47,24,26,"[[131, 24], [26, 47]]",,
CM003,clinical-modernbert,clinical-modernbert_cls,LDA,1.0,0.6447368421052632,0.4565217391304347,0.5753424657534246,0.509090909090909,,,,105,42,50,31,"[[105, 50], [31, 42]]",,
CM004,clinical-modernbert,clinical-modernbert_cls,SVM,1.0,0.7587719298245614,0.6285714285714286,0.6027397260273972,0.6153846153846154,,,,129,44,26,29,"[[129, 26], [29, 44]]",,
CM005,clinical-modernbert,clinical-modernbert_cls,KNN,1.0,0.7149122807017544,0.5645161290322581,0.4794520547945205,0.5185185185185185,,,,128,35,27,38,"[[128, 27], [38, 35]]",,
CM006,clinical-modernbert,clinical-modernbert_cls,MLPClassifier,1.0,0.7368421052631579,0.5783132530120482,0.6575342465753424,0.6153846153846154,,,,120,48,35,25,"[[120, 35], [25, 48]]",,
CM007,clinical-modernbert,clinical-modernbert_cls,DecisionTree,1.0,0.631578947368421,0.4352941176470588,0.5068493150684932,0.4683544303797468,,,,107,37,48,36,"[[107, 48], [36, 37]]",,
CM008,clinical-modernbert,clinical-modernbert_cls,RandomForest,1.0,0.7543859649122807,0.6440677966101694,0.5205479452054794,0.5757575757575758,,,,134,38,21,35,"[[134, 21], [35, 38]]",,
CM009,clinical-modernbert,clinical-modernbert_cls,XGBoost,1.0,0.7412280701754386,0.6521739130434783,0.410958904109589,0.5042016806722689,,,,139,30,16,43,"[[139, 16], [43, 30]]",,
CM010,clinical-modernbert,clinical-modernbert_cls,LogisticRegression,0.5,0.7763157894736842,0.6964285714285714,0.5342465753424658,0.6046511627906976,,0.6565656565656566,,138,39,17,34,"[[138, 17], [34, 39]]",,
CM011,clinical-modernbert,clinical-modernbert_cls,RidgeClassifier,0.5,0.7982456140350878,0.7213114754098361,0.6027397260273972,0.6567164179104478,,0.694006309148265,,138,44,17,29,"[[138, 17], [29, 44]]",,
